"ref","1","2","3"
9830,-0.001,-0.001,-5302.989
23536,-0.001,-0.001,-0.001
10860,-0.001,-0.001,-80.117
53315,-0.001,-0.001,-0.001
34845,-0.001,-0.001,NA
59383,-0.001,-0.001,-0.001
56521,-0.001,-0.001,-0.001
63222,-0.001,-0.001,-0.001
19597,NA,NA,NA
39807,-0.001,-0.001,-2.478
31854,-0.001,-0.001,-0.001
11114,-0.001,-0.001,NA
32756,-0.001,-0.001,-0.001
55775,-0.001,-0.001,-0.001
11846,-0.001,-0.001,NA
8331,-0.001,-0.001,-0.001
47076,-0.001,-0.001,-0.001
1492,-0.001,-0.001,-0.001
18299,-0.001,-0.001,-0.001
7158,-0.001,-335.1,0.978
61620,-0.001,-0.001,-0.001
58184,-0.001,-0.001,-0.001
33384,-0.001,-0.001,NA
55643,-0.001,-0.001,-0.001
46102,-0.001,-0.001,-0.001
54672,-0.001,-0.001,-0.001
41027,-0.001,-0.001,-0.001
4284,-0.001,-0.001,-0.023
11889,-0.001,-0.001,-0.001
48469,-0.001,-0.001,-0.001
23500,-0.001,-0.001,NA
5689,-0.001,-0.001,-0.001
14560,-0.001,-0.001,-0.001
8795,-0.001,-0.001,-0.001
45670,-0.001,-0.001,NA
28403,-0.001,-0.002,-0.002
40052,-0.001,-0.001,-0.001
28179,-0.001,-0.001,-0.001
60323,-0.001,-0.001,-0.001
4167,-0.001,-0.001,NA
62960,-0.001,-0.001,-0.001
9528,-0.001,-0.001,NA
40041,-0.001,-0.002,-0.002
50700,-0.001,-0.001,-0.001
46712,-0.001,-0.001,-0.001
43404,-0.001,-0.001,-0.001
47031,-0.002,-0.003,-0.003
63111,-0.001,-0.001,-0.001
46043,-0.001,-0.001,-0.001
59737,-0.001,-0.001,-0.001
54428,-0.001,-0.001,-0.001
55835,-0.001,-0.001,-0.001
6249,NA,NA,NA
6278,-0.001,-6.064,0.319
32480,-0.001,-0.001,-0.001
1377,-0.001,-0.001,-58.769
34834,-0.001,-0.001,NA
38756,-0.001,-0.001,-0.001
57100,-0.001,-0.001,-0.001
38440,-0.001,-0.002,-0.002
53915,-0.001,-0.001,-0.001
42231,-0.001,-0.001,-0.002
17062,-0.001,-0.001,-67.257
21029,-0.001,-0.001,-86.602
20111,-0.001,-0.001,-0.001
15416,-0.001,-0.001,-0.001
2139,-0.001,-0.001,NA
62429,-0.001,-0.001,-0.001
64902,-0.001,-0.001,-0.001
1330,-0.001,-0.001,-0.001
2787,-0.001,-0.001,-80.219
58865,-0.001,-0.001,-0.001
25505,-0.001,-0.001,-0.001
23751,-0.001,-0.001,-0.001
62064,-0.001,-0.001,-0.001
60523,-0.001,-0.001,NA
40400,-0.001,-203.689,0.969
54953,-0.001,-0.001,-0.001
23900,-0.001,-0.001,NA
16485,-0.001,-0.001,NA
25498,-0.001,-0.001,-0.001
37232,-0.001,-0.001,0
1754,-0.001,-165.472,0.963
54216,-0.001,-0.001,0
62776,-0.001,-0.001,-0.001
54099,-0.001,-0.001,-0.001
62997,-0.001,-0.001,-0.001
1369,-0.001,-3.607,0.179
61528,-0.001,-0.001,-0.001
21764,-0.001,-0.001,-0.001
8689,-0.001,-0.001,-0.001
43276,-0.001,-0.001,-0.001
44830,-0.001,-0.001,-0.001
54808,-0.001,-0.001,-0.001
25267,-0.001,-0.001,-0.001
58551,-0.001,-0.001,-0.001
35576,-0.001,-0.001,-0.001
2053,-0.001,NA,NA
55938,-0.001,-0.001,-0.002
59597,-0.001,-0.001,-0.001
13792,-0.001,-0.001,-0.001
33297,-0.001,-0.001,NA
8177,-0.001,-0.001,-0.001
33192,-0.001,-0.001,-0.001
27689,-0.001,-0.001,-0.001
44616,-0.001,-0.001,-0.001
52433,-0.001,-0.001,-0.001
27813,-0.001,-0.001,NA
35441,-0.001,-0.001,-0.001
27853,-0.001,-0.001,-0.001
3496,-0.001,-0.001,-0.001
26810,-0.001,-0.001,NA
24547,-0.001,-0.001,-0.001
55339,-0.001,-0.001,-81.809
22858,-0.001,-0.001,-215.624
36603,-0.002,-0.003,-0.817
4626,-0.001,-0.001,NA
50017,-0.001,-0.001,-0.001
24033,-0.001,-189.636,-1947.768
11435,-0.001,-0.001,-0.001
45390,-0.001,NA,NA
61803,-0.001,-0.001,-0.001
13663,-0.001,-0.001,NA
10926,-0.001,-0.001,-0.001
3601,-0.001,0,-0.027
59523,-0.001,-0.001,-0.001
31000,-0.001,-0.001,-0.001
20776,-0.001,0,-1240.673
9587,-0.001,-0.001,0
433,-0.001,-337.69,0.985
15056,-0.001,-0.001,-0.001
22881,-0.001,-0.001,-0.001
50753,-0.001,-0.001,-0.001
37544,-0.001,-0.001,-0.001
25498,-0.001,-0.001,-0.001
21595,-0.001,-0.001,NA
54701,-0.001,-0.001,-0.001
50354,-0.001,-0.001,-0.001
6738,-0.001,-165.63,0.934
64362,-0.001,-0.001,-0.001
34249,-0.001,-0.001,-0.001
30365,-0.001,-0.001,-0.001
49621,-0.001,-0.001,-0.001
44189,-0.001,-0.001,0.006
17931,-0.001,-0.001,-0.001
55427,-0.001,-0.001,-0.001
565,-0.001,-0.001,-120.83
1969,-351.292,0.929,-961959.289
116,-0.001,-119.41,0.964
11078,-0.001,-0.001,-114.3
21385,-0.001,-0.001,0
34923,-0.001,-0.001,-0.001
51156,-0.001,-0.001,-0.001
53984,-0.001,-0.001,-0.001
18830,-0.001,-0.001,-0.001
51764,-0.001,-0.001,-0.001
45886,-0.001,-0.001,NA
42848,-0.001,-0.001,NA
4188,-0.001,-0.001,-78.781
4500,-0.001,-0.001,-67.243
10670,-0.001,-0.001,NA
10801,-0.001,-0.001,NA
3540,-0.001,-0.001,-72.138
86,-0.001,-0.001,-55.576
28045,-0.001,-0.001,NA
38955,-0.001,-0.001,-0.001
33374,-0.001,-0.001,-0.001
31767,-0.001,-0.001,-0.001
5695,-0.001,-0.001,-0.001
38779,-0.001,-0.002,0
56433,-0.001,-0.001,-0.001
19169,-0.001,-0.001,-0.001
14103,-0.001,-0.001,-0.001
36508,-0.001,-0.001,-0.001
36515,-0.001,-0.001,-0.001
56275,-0.001,-0.001,-0.001
31091,-0.001,-0.001,-0.001
789,0,NA,NA
49929,-0.001,-0.001,-0.001
62717,-0.001,NA,NA
35525,-0.001,-0.001,-0.001
932,-0.001,-0.001,-0.001
44812,-0.001,-0.001,-0.001
6011,-0.001,-0.001,0
45037,-0.001,-0.001,-0.001
40290,-0.001,-0.001,NA
23842,-0.001,0,-174.952
57699,-0.001,0,-0.001
11530,-0.001,-0.001,-0.001
17725,-0.001,-0.001,-0.001
35230,-0.001,-0.001,0
56110,-0.001,-0.001,NA
63300,-0.001,-0.001,-0.001
47957,-0.001,-0.001,-0.001
50463,-0.001,-0.001,-0.001
47840,-0.001,NA,NA
3566,-0.001,-0.001,-0.001
41007,-0.001,-0.001,-0.001
39043,-0.001,-0.001,0
11009,-0.001,NA,NA
63536,-0.001,-0.001,-0.001
57595,-0.001,-0.001,-0.001
36431,-0.001,-0.001,NA
21789,-0.001,NA,NA
57356,-0.001,-0.001,-0.001
6774,-0.001,-0.001,-111.315
61028,-0.001,-0.001,-0.001
16143,NA,NA,NA
44375,-0.001,-0.001,-0.001
64800,-0.001,-0.001,-0.001
56603,-0.001,-0.001,-0.002
21334,-0.001,-0.001,-1.183
34948,-0.001,-0.001,-0.001
37792,-0.001,NA,NA
20588,-0.001,-0.001,-0.895
38089,-0.001,-0.001,-0.001
54939,-0.001,-0.001,-0.001
41113,-0.001,-0.001,-0.001
47907,-0.001,-0.001,-1240.345
57251,-0.001,-0.001,-0.001
22105,-0.001,-0.001,-0.001
43217,-0.001,-0.001,-0.001
19509,-0.001,NA,NA
15804,-0.001,-0.001,0
62686,-0.001,-0.001,-0.001
57822,-0.001,-0.001,-0.001
34253,0,0,0
56229,-0.001,-0.001,-0.001
24409,-0.001,-0.001,-0.002
53596,-0.001,-0.001,-0.001
7292,-0.001,-1.051,-0.453
51302,-0.001,-0.001,-0.001
47490,-0.001,-0.001,-0.001
56942,-0.001,-0.001,-0.001
12565,-0.001,-0.001,-0.001
33567,-0.001,-0.001,-0.001
7115,-0.001,-0.001,-0.001
36214,-0.001,-0.001,-0.001
60873,-0.001,-0.001,-0.001
58214,-0.001,-0.001,-0.001
34750,-0.001,-0.001,-0.001
5931,-0.001,-0.001,-77.421
7280,-0.001,-114.035,-36.558
14040,-0.001,-0.001,-0.001
19102,-0.001,NA,NA
4217,-0.001,-286.255,0.974
18330,-0.001,-0.001,NA
42411,-0.001,-0.001,-51.819
1079,-0.001,-0.001,-0.001
49275,-0.001,-0.001,-0.001
32369,-0.001,-0.001,-0.069
14503,-0.001,-0.001,-87.901
