"ref","1","2"
7229,0.632,0.741
2219,0.409,0.654
7334,0.263,0.572
273,0.66,0.791
973,0.789,0.784
570,0.614,0.833
3123,0.718,0.816
6667,0.583,0.681
6303,-0.04,0.427
6837,0.913,0.843
6624,0.916,0.847
2166,0.807,-0.076
7588,0.423,0.734
4103,0.811,0.8
6678,0.544,0.717
3198,0.467,0.853
3651,0.767,0.802
7662,0.871,0.84
1673,0.451,0.693
846,0.625,0.784
4044,0.536,0.723
381,0.499,0.724
3675,0.775,0.792
1884,0.514,0.768
556,0.475,0.789
2376,-0.09,0.691
7015,0.571,0.808
3120,0.863,0.892
571,0.731,0.823
7189,0.653,0.8
4858,-0.821,0.592
6488,0.807,0.752
4680,0.135,0.801
6945,0.212,0.694
7323,0.54,0.716
4106,0.9,0.792
1181,0.668,0.762
5602,0.524,0.63
3819,0.238,0.725
7809,0.546,0.8
4226,0.52,0.738
4183,0.518,0.704
5216,0.017,0.765
2913,0.921,0.881
6324,0.891,0.843
3402,0.522,0.743
4882,-2.475,0.634
7384,0.825,0.831
7143,0.559,0.742
1194,0.733,0.786
3160,0.586,0.808
1356,0.671,0.815
1985,0.529,0.77
2785,0.623,0.802
275,0.688,0.84
2601,0.435,0.714
7337,0.479,0.678
6607,0.656,0.816
252,0.396,0.643
3699,0.614,0.709
2631,0.606,0.749
7167,-0.119,0.676
1778,0.565,0.748
5014,-1.793,0.543
5467,0.161,0.765
7391,0.276,0.689
4060,0.739,0.788
3438,0.842,0.834
3965,0.723,0.818
2605,0.609,0.816
2589,0.851,0.832
7190,0.585,0.712
7415,0.785,0.827
483,0.523,0.786
1546,0.748,0.799
6433,0.681,0.73
727,0.745,0.806
2558,0.792,0.844
3964,0.643,0.772
4354,0.495,0.762
1791,0.759,0.79
6598,0.622,0.818
4438,0.512,0.793
4512,0.923,0.869
7599,0.418,0.792
3769,0.886,0.82
3211,0.502,0.726
6683,0.623,0.765
7470,-0.24,0.643
1027,0.815,0.774
5803,0.679,0.826
7667,0.601,0.762
6098,0.78,0.832
6957,0.872,0.827
2832,0.453,0.734
