"ref","1","2","3"
16159,0.582,0.014,-2.103
49725,0.266,-0.333,-0.438
5155,0.585,0.241,-0.13
59998,0.283,0.291,-1.252
55373,0.437,-0.027,-1.804
58983,-0.06,-0.028,-1.16
5549,0.656,-0.073,-0.822
57836,0.25,-2.64,-2.403
24257,0.491,-0.28,-1.479
50280,0.557,-1.023,-0.93
8654,-0.229,-0.536,-5.821
35691,0.511,-4.047,-0.527
5811,0.519,-0.592,-1.233
22305,-0.144,-2.376,-2.954
26642,0.305,-0.23,-1.47
26251,0.451,0.503,-0.907
18694,0.339,-3.764,-0.404
26827,0.543,0.274,-1.092
6105,0.498,-0.139,-0.291
39365,0.413,-1.173,-1.951
39299,0.364,-0.81,-2.23
3523,0.459,0.125,-0.44
49091,0.481,0.315,-0.647
60652,0.383,-0.95,-0.541
24479,0.253,0.06,-1.565
15996,0.493,-0.546,-0.57
5041,0.489,-1.526,-1.064
45438,0.477,0.17,-1.902
40229,0.414,-0.815,-0.894
12003,0.274,-0.471,-1.296
19550,0.6,0.323,-1.702
41934,0.455,0.21,-1.708
53317,0.493,-0.645,-1.64
59397,0.536,0.098,-1.611
31681,0.593,-0.806,-0.535
52741,-0.024,-0.407,-3.107
3333,0.432,0.016,-0.094
34672,0.355,0.298,-3.848
42263,0.475,-0.568,-1.04
28322,0.289,-0.522,-1.311
57966,0.595,0.097,-1.335
58134,0.556,-0.737,-1.9
1856,0.418,-1.37,-1.313
58714,0.513,-0.595,-1.024
45215,0.324,0.327,-2.218
54365,0.21,-0.289,-1.299
5725,0.481,-1.269,-1.871
40932,0.273,0.044,-1.255
32286,0.52,-0.823,-0.97
50427,0.547,0.736,0.227
24462,-0.254,-0.174,-2.883
1164,0.61,-0.954,-0.894
40283,0.267,-3.52,-0.544
9482,0.432,-0.332,-0.893
21879,0.233,-0.497,-1.255
25640,0.488,-0.594,-1.152
25364,0.414,-0.007,-1.087
33152,0.568,-0.015,-2.451
51246,0.437,0.027,-0.855
24326,0.067,-0.019,-1.444
39641,0.468,-0.076,-2.066
32973,0.454,0.102,-4.034
44183,0.063,-1.578,-2.454
60047,0.304,-0.776,-1.233
49410,0.274,-2.68,-0.469
47641,0.493,0.063,-0.471
32749,0.145,0.418,-1.424
41280,0.145,-3.765,-1.278
46035,0.535,0.44,-2.6
24853,0.349,-0.567,-1.956
27944,0.41,-0.056,-2.338
8539,0.324,-0.141,-1.007
45132,0.429,-0.2,-4.012
51435,0.245,0.565,-2.564
34352,0.454,-0.137,-1.178
33952,0.376,0.268,-1.274
51364,0.392,0.028,-1.805
84,0.551,-0.159,-0.432
31139,0.18,-0.41,-1.876
34128,0.39,-1.966,-0.64
29032,0.466,0.387,-2.194
19853,0.405,-0.314,-0.637
35522,0.662,0.592,-1.819
32657,0.467,-3.928,-0.322
12275,0.53,-1.726,-1.965
2207,0.587,0.269,-4.521
50318,0.403,-0.513,-0.693
58829,0.468,0.153,-1.099
16636,0.568,0.479,-3.611
60546,0.447,0.063,-1.374
55256,0.35,-0.082,-1.315
12824,0.508,0.449,-1.998
48208,0.265,0.54,-1.039
48447,0.374,-1.331,-0.999
15953,0.035,0.705,-1.162
21511,0.312,0.125,-1.975
39100,0.363,0.065,-2.29
29832,0.468,0.349,-1.536
13015,0.354,-1.799,-1.221
29586,-0.165,0.127,-1.962
50719,0.594,-0.082,-1.309
51430,0.541,-0.092,-3.786
33622,0.306,0.56,-0.824
25577,-0.539,-0.83,-2.076
44338,0.425,-0.385,-2.588
38870,0.227,-0.761,-2.208
34312,0.139,-4.226,-1.097
35312,0.616,-0.25,-3.919
39932,-0.033,0.24,-3.783
32109,0.442,-0.201,-1.646
40712,0.523,-0.24,-1.066
24547,0.313,0.181,-0.81
5958,0.397,-1.208,-1.476
53033,0.567,-1.241,-1.059
53526,0.613,0.012,-0.559
1743,0.595,-0.368,-0.739
14940,0.454,-0.512,-0.828
53665,0.508,-0.669,-2.226
16250,0.536,-0.011,-1.689
56661,0.14,-0.739,-1.686
24471,0.188,-0.618,-1.336
20751,0.462,0.737,-1.444
6502,0.533,-0.253,-1.471
13178,0.536,0.076,-2.379
47795,0.541,0.537,-0.666
43540,0.481,-0.533,-1.716
48922,0.47,0.078,-1.258
26198,0.214,0.01,-1.013
6904,0.385,-0.42,-1.529
58282,0.565,0.009,-1.579
2475,0.451,-0.283,-0.734
29770,-0.004,-0.951,-2.851
12458,0.319,-2.077,-1.72
9330,0.32,-0.227,-1.383
53727,0.36,-1.875,-1.451
16663,0.453,-2.474,-0.474
26135,0.297,0.463,-1.69
10281,0.344,-0.994,-1.616
41519,0.166,-0.851,-2.125
7707,-0.331,-0.081,-3.732
46123,0.272,0.028,-3.664
56402,0.49,0.275,-0.123
7368,0.516,0.48,-2.262
20533,0.635,-0.256,-3.685
20526,0.596,0.475,-2.239
23585,0.227,-0.47,-1.117
33758,0.44,-0.475,-3.373
27437,0.432,0.221,-0.866
10376,0.355,0.463,-0.774
38911,0.29,-0.502,-1.609
59679,0.202,0.064,-2.702
67,0.521,0.215,-0.422
15020,0.387,-1.282,-1.75
7809,0.433,-2.905,-1.098
9188,0.314,-0.241,-1.22
46088,-0.255,0.657,-3.229
25972,-0.355,-1.849,-2.584
60787,0.342,-1.353,-1.603
9158,0.43,-0.049,-0.995
32222,0.404,-1.739,-2.043
22985,0.502,0.262,-2.139
12959,0.472,0.49,-1.835
32361,0.448,-0.214,-1.951
9069,0.369,-0.325,-1.666
48195,0.485,0.337,-1.838
28561,0.304,-1.429,-3.269
60731,0.15,-2.525,-3.121
43025,0.541,0.304,-0.736
36157,0.408,-0.604,-1.55
45770,0.056,-0.816,-1.775
2677,0.442,-0.742,-3.643
55692,0.21,-0.553,-2.243
6153,0.225,0.274,-1.735
5230,0.254,-1.592,-1.528
16844,0.381,0.382,-2.922
40390,0.457,0.125,-1.532
41444,0.36,0.258,-1.324
17425,0.498,0.607,-1.117
58501,0.548,0.376,-2.072
59062,0.415,0.121,-1.253
6014,0.465,-2.51,-1.358
7894,0.184,-2.193,-2.004
42045,0.233,0.175,-1.735
11802,0.508,0.327,-1.516
29736,-0.892,0.354,-2.928
38266,0.33,-1.625,-1.634
12993,0.444,-0.954,-1.005
4688,0.611,-0.526,-0.699
42499,0.418,0.329,-4.935
14155,0.375,-0.806,-2.317
7366,0.481,-1.895,-0.987
59602,0.339,0.338,-0.726
43921,0.467,-1.768,-1.86
8971,-0.697,-0.789,-3.617
49053,0.271,0.228,-1.322
35965,0.579,0.072,0.121
7679,0.188,-0.203,-2.855
23516,0.287,0.314,-0.93
11073,0.376,0.308,-2.227
53042,0.439,0.048,-2.814
7750,0.345,0.412,-2.167
26954,0.38,-1.209,-1.913
48729,0.25,0.11,-1.817
43548,0.56,0.563,-0.805
13245,0.527,0.057,-0.951
30049,0.257,-2.207,-1.103
23961,0.482,0.394,-0.706
45711,0.334,0.181,-1.233
1288,0.515,0.441,-0.257
43118,-0.036,-1.902,-3.62
41053,0.352,-0.045,-1.155
44504,-0.052,0.524,-1.336
31072,0.025,-0.555,-1.662
27609,0.416,0.118,-1.392
18397,0.311,0.354,-2.277
29818,0.402,-0.326,-2.078
41338,0.497,-0.58,-2.308
4031,0.252,0.323,-6.858
31297,0.17,0.576,-3.998
34338,0.583,-0.01,-1.971
15708,0.552,0.022,-1.449
22764,0.388,0.1,-2.627
44796,0.457,-0.383,-0.953
48728,0.481,-0.729,-1.778
28370,0.36,-0.147,-1.142
16535,0.508,0.169,-1.608
17115,0.576,-0.518,-1.455
35296,0.457,-2.784,-1.341
6250,0.125,-1.138,-3.785
23328,0.274,-0.146,-0.967
15600,0.494,-0.568,-1.826
31867,-0.39,0.253,-5.93
